排名,上映年份,电影名称,票房
001,2024,寒单,23.6
002,2024,天降大任,3208.4
003,2024,回西藏,78.4
004,2024,大雨,1728.6
005,2024,夜幕将至,59.2
006,2024,养蜂人,11414.6
007,2024,小行星猎人,237.9
008,2024,动物园里有什么？,10861.7
009,2024,烟火人间,80.9
010,2024,临时劫案,23734.8
011,2022,还是觉得你最好,10787.3
012,2024,花千骨,655.4
013,2024,江豚·风时舞,768.2
014,2024,开心超人之时空营救,2585.3
015,2024,世界欠我一个你,59.9
016,2024,红毯先生,9408.6
017,2024,第二十条,245459.4
018,2024,热辣滚烫,346040.9
019,2024,飞驰人生2,339842.2
020,2024,我们一起摇太阳,27513.7
021,2024,熊出没·逆转时空,199994（至5-27）
022,2024,八戒之天蓬下界,333（至2-18）
023,2024,阿盖尔：神秘特工,1540.8
024,2024,还是觉得你最好2,1786.5
025,2023,奥本海默,45305.9
026,2021,沙丘,26233.6
027,2024,陌路狂刀,47.2
028,2024,周处除三害,66568.1
029,2024,蜘蛛夫人：超感觉醒,581.7
030,2024,戏杀,861.3
031,2024,沙丘2,35248
032,2024,被我弄丢的你,21165.2
033,2024,孔秀,51.9
034,2024,灿烂的她,10027.7
035,2024,挑战,369.3
036,2024,功夫熊猫4,37366.2
037,2024,阿莫阿依,1275.4
038,2024,坠落的审判,2852.2
039,2024,哥斯拉大战金刚2：帝国崛起,95691.7
040,2024,银河写手,424.9
041,2024,你想活出怎样的人生,79108.4
042,2024,草木人间,12164.1
043,2024,雪豹,837.7
044,2024,黄雀在后！,10137.8
045,2024,零度极限,43
046,2024,大“反”派,5704.1
047,2024,白日之下,1219.7
048,2024,乘船而去,57.1
049,2024,来自汪星的你,608.7
050,2024,有你真好！,176.5
051,2024,出门在外,103.7
052,2024,冰雪女王5：融冰之战,936.8
053,2024,年少日记,1561.7
054,2024,疯狂星期一,45
055,2024,金的音像店,180
056,2024,数码宝贝02：最初的召唤,1326.6
057,2024,哈尔的移动城堡,16778.1
058,2024,间谍过家家 代号：白,29333.1
059,2024,九龙城寨之围城,68496.1
060,2024,末路狂花钱,78172.4
061,2024,没有一顿火锅解决不了的事,5440（至5-19）
062,2024,维和防暴队,51168.6
063,2024,猪猪侠大电影·星际行动,5474.2
064,2024,妈妈和七天的时间,25.3
065,2024,猩球崛起：新世界,20935.7
066,2024,特技狂人,894.8
067,2024,彷徨之刃,8962.3
068,2024,朝云暮雨,1881
069,2024,即使这份爱今夜从世上消失,1789.3
070,2024,错过你的那些年,5253.2
071,2024,不能错过的只有你,7142.5
072,2024,你是我的英雄,1094.7
073,2024,最后的，最初的,148.1
074,2024,母亲的直觉,210.7
075,2024,三叉戟,2896.5
076,2024,盟军敢死队,519.7
077,2024,再会长江,865.6
